x = 0.0000, y = 0.1000
x = 0.1000, y = 0.2320
x = 0.2000, y = 0.4000
x = 0.3000, y = 0.6080
x = 0.4000, y = 0.8600
x = 0.5000, y = 1.1600
x = 0.6000, y = 1.5120
x = 0.7000, y = 1.9200
x = 0.8000, y = 2.3880
x = 0.9000, y = 2.9200
x = 1.0000, y = 3.5200
x = 1.1000, y = 4.1920
x = 1.2000, y = 4.9400
x = 1.3000, y = 5.7680
x = 1.4000, y = 6.6800
x = 1.5000, y = 7.6800
x = 1.6000, y = 8.7720
x = 1.7000, y = 9.9600
x = 1.8000, y = 11.2480
x = 1.9000, y = 12.6400
x = 2.0000, y = 14.1400
x = 2.1000, y = 15.7520
x = 2.2000, y = 17.4800
x = 2.3000, y = 19.3280
x = 2.4000, y = 21.3000
x = 2.5000, y = 23.4000
x = 2.6000, y = 25.6320
x = 2.7000, y = 28.0000
x = 2.8000, y = 30.5080
x = 2.9000, y = 33.1600
x = 3.0000, y = 35.9600
x = 3.1000, y = 38.9120
x = 3.2000, y = 42.0200
x = 3.3000, y = 45.2880
x = 3.4000, y = 48.7200
x = 3.5000, y = 52.3200
x = 3.6000, y = 56.0920
x = 3.7000, y = 60.0400
x = 3.8000, y = 64.1680
x = 3.9000, y = 68.4800
