x = 0.0000, y = 0.0425
x = 0.0400, y = 0.0900
x = 0.0800, y = 0.1428
x = 0.1200, y = 0.2012
x = 0.1600, y = 0.2654
x = 0.2000, y = 0.3357
x = 0.2400, y = 0.4124
x = 0.2800, y = 0.4956
x = 0.3200, y = 0.5857
x = 0.3600, y = 0.6829
x = 0.4000, y = 0.7874
x = 0.4400, y = 0.8996
x = 0.4800, y = 1.0196
x = 0.5200, y = 1.1478
x = 0.5600, y = 1.2843
x = 0.6000, y = 1.4295
x = 0.6400, y = 1.5836
x = 0.6800, y = 1.7468
x = 0.7200, y = 1.9195
x = 0.7600, y = 2.1018
x = 0.8000, y = 2.2940
x = 0.8400, y = 2.4964
x = 0.8800, y = 2.7092
x = 0.9200, y = 2.9327
x = 0.9600, y = 3.1672
x = 1.0000, y = 3.4129
x = 1.0400, y = 3.6700
x = 1.0800, y = 3.9388
x = 1.1200, y = 4.2196
x = 1.1600, y = 4.5126
x = 1.2000, y = 4.8181
x = 1.2400, y = 5.1364
x = 1.2800, y = 5.4676
x = 1.3200, y = 5.8121
x = 1.3600, y = 6.1701
x = 1.4000, y = 6.5418
x = 1.4400, y = 6.9276
x = 1.4800, y = 7.3276
x = 1.5200, y = 7.7422
x = 1.5600, y = 8.1715
x = 1.6000, y = 8.6159
x = 1.6400, y = 9.0756
x = 1.6800, y = 9.5508
x = 1.7200, y = 10.0419
x = 1.7600, y = 10.5490
x = 1.8000, y = 11.0724
x = 1.8400, y = 11.6124
x = 1.8800, y = 12.1692
x = 1.9200, y = 12.7431
x = 1.9600, y = 13.3344
x = 2.0000, y = 13.9433
x = 2.0400, y = 14.5700
x = 2.0800, y = 15.2148
x = 2.1200, y = 15.8780
x = 2.1600, y = 16.5598
x = 2.2000, y = 17.2605
x = 2.2400, y = 17.9804
x = 2.2800, y = 18.7196
x = 2.3200, y = 19.4785
x = 2.3600, y = 20.2573
x = 2.4000, y = 21.0562
x = 2.4400, y = 21.8756
x = 2.4800, y = 22.7156
x = 2.5200, y = 23.5766
x = 2.5600, y = 24.4587
x = 2.6000, y = 25.3623
x = 2.6400, y = 26.2876
x = 2.6800, y = 27.2348
x = 2.7200, y = 28.2043
x = 2.7600, y = 29.1962
x = 2.8000, y = 30.2108
x = 2.8400, y = 31.2484
x = 2.8800, y = 32.3092
x = 2.9200, y = 33.3935
x = 2.9600, y = 34.5016
x = 3.0000, y = 35.6337
x = 3.0400, y = 36.7900
x = 3.0800, y = 37.9708
x = 3.1200, y = 39.1764
x = 3.1600, y = 40.4070
x = 3.2000, y = 41.6629
x = 3.2400, y = 42.9444
x = 3.2800, y = 44.2516
x = 3.3200, y = 45.5849
x = 3.3600, y = 46.9445
x = 3.4000, y = 48.3306
x = 3.4400, y = 49.7436
x = 3.4800, y = 51.1836
x = 3.5200, y = 52.6510
x = 3.5600, y = 54.1459
x = 3.6000, y = 55.6687
x = 3.6400, y = 57.2196
x = 3.6800, y = 58.7988
x = 3.7200, y = 60.4067
x = 3.7600, y = 62.0434
x = 3.8000, y = 63.7092
x = 3.8400, y = 65.4044
x = 3.8800, y = 67.1292
x = 3.9200, y = 68.8839
x = 3.9600, y = 70.6688
